Pressure Altitude [ft],OAT [°C],Vy [KIAS],ROC [FPM],Time [MIN],Distance [NM],Fuel [l],Fuel [US Gal],Weight [kg]
0,15,70,767,0.0,0.0,0.0,0.0,1157
1000,13,70,761,1.3,1.5,0.7,0.2,1157
2000,11,70,755,2.6,3.1,1.5,0.4,1157
3000,9,70,748,4.0,4.8,2.2,0.6,1157
4000,7,70,742,5.3,6.5,3.0,0.8,1157
5000,5,70,736,6.7,8.3,3.7,1.0,1157
6000,3,70,729,8.0,10.2,4.5,1.2,1157
7000,1,70,722,9.4,12.1,5.3,1.4,1157
8000,-1,70,715,10.8,14.1,6.0,1.6,1157
9000,-3,70,685,12.2,16.3,6.7,1.8,1157
10000,-5,70,654,13.7,18.5,7.3,1.9,1157
11000,-7,70,623,15.3,21.0,7.9,2.1,1157
12000,-9,70,592,16.9,23.6,8.6,2.3,1157
13000,-11,70,561,18.7,26.5,9.2,2.4,1157
14000,-13,70,530,20.5,29.6,9.8,2.6,1157
15000,-15,70,498,22.4,32.9,10.5,2.8,1157
16000,-17,70,466,24.5,36.6,11.1,2.9,1157
17000,-19,70,434,26.7,40.5,11.8,3.1,1157
18000,-21,70,402,29.1,44.9,12.4,3.3,1157
0,15,70,794,0.0,0.0,0.0,0.0,1134
1000,13,70,788,1.3,1.5,0.7,0.2,1134
2000,11,70,782,2.5,3.0,1.4,0.4,1134
3000,9,70,776,3.8,4.6,2.1,0.6,1134
4000,7,70,770,5.1,6.3,2.9,0.8,1134
5000,5,70,763,6.4,8.0,3.6,0.9,1134
6000,3,70,757,7.7,9.8,4.3,1.1,1134
7000,1,70,750,9.1,11.7,5.1,1.3,1134
8000,-1,70,743,10.4,13.6,5.8,1.5,1134
9000,-3,70,712,11.8,15.7,6.4,1.7,1134
10000,-5,70,681,13.2,17.9,7.0,1.9,1134
11000,-7,70,650,14.7,20.2,7.7,2.0,1134
12000,-9,70,618,16.3,22.7,8.3,2.2,1134
13000,-11,70,587,18.0,25.5,8.9,2.3,1134
14000,-13,70,555,19.7,28.4,9.5,2.5,1134
15000,-15,70,523,21.6,31.6,10.1,2.7,1134
16000,-17,70,491,23.5,35.1,10.7,2.8,1134
17000,-19,70,459,25.6,38.9,11.3,3.0,1134
18000,-21,70,426,27.9,43.0,11.9,3.1,1134
0,15,70,823,0.0,0.0,0.0,0.0,1111
1000,13,70,817,1.2,1.4,0.7,0.2,1111
2000,11,70,811,2.4,2.9,1.4,0.4,1111
3000,9,70,805,3.7,4.5,2.1,0.5,1111
4000,7,70,798,4.9,6.1,2.8,0.7,1111
5000,5,70,792,6.2,7.7,3.5,0.9,1111
6000,3,70,785,7.5,9.5,4.2,1.1,1111
7000,1,70,779,8.7,11.3,4.9,1.3,1111
8000,-1,70,772,10.0,13.1,5.6,1.5,1111
9000,-3,70,741,11.4,15.1,6.2,1.6,1111
10000,-5,70,709,12.7,17.2,6.8,1.8,1111
11000,-7,70,677,14.2,19.5,7.4,1.9,1111
12000,-9,70,646,15.7,21.9,7.9,2.1,1111
13000,-11,70,614,17.3,24.5,8.5,2.3,1111
14000,-13,70,581,18.9,27.3,9.1,2.4,1111
15000,-15,70,549,20.7,30.4,9.7,2.6,1111
16000,-17,70,517,22.6,33.7,10.2,2.7,1111
17000,-19,70,484,24.6,37.3,10.8,2.9,1111
18000,-21,70,451,26.7,41.2,11.4,3.0,1111
