Pressure Altitude [ft],Load [%],Speed [KTAS],Speed [mph],Fuel Flow [l/h],Fuel Flow [US Gal/h],Distance [NM],Endurance Time [hrs],Weight [kg]
0,100,125,144,33.6,8.9,518,4.2,1111
0,90,120,138,29.6,7.8,578,4.8,1111
0,80,115,132,25.8,6.8,648,5.6,1111
0,70,109,126,22.1,5.8,732,6.7,1111
0,60,102,118,18.6,4.9,831,8.1,1111
0,50,94,108,15.3,4.0,942,10.0,1111
2000,100,127,146,33.6,8.9,525,4.1,1111
2000,90,122,141,29.6,7.8,586,4.7,1111
2000,80,117,135,25.8,6.8,656,5.5,1111
2000,70,111,128,22.1,5.8,740,6.6,1111
2000,60,104,120,18.6,4.9,839,8.0,1111
2000,50,95,110,15.3,4.0,948,9.9,1111
4000,100,130,149,33.6,8.9,532,4.0,1111
4000,90,125,143,29.6,7.8,593,4.6,1111
4000,80,119,137,25.8,6.8,664,5.4,1111
4000,70,113,130,22.1,5.8,748,6.4,1111
4000,60,106,122,18.6,4.9,846,7.8,1111
4000,50,97,111,15.3,4.0,954,9.7,1111
6000,100,132,152,33.6,8.9,540,3.8,1111
6000,90,127,146,29.6,7.8,601,4.5,1111
6000,80,121,140,25.8,6.8,670,5.3,1111
6000,70,115,132,22.1,5.8,756,6.3,1111
6000,60,108,124,18.6,4.9,854,7.7,1111
6000,50,98,113,15.3,4.0,958,9.5,1111
8000,100,135,155,33.6,8.9,547,3.7,1111
8000,90,130,149,29.6,7.8,608,4.4,1111
8000,80,124,142,25.8,6.8,679,5.2,1111
8000,70,117,134,22.1,5.8,764,6.2,1111
8000,60,109,126,18.6,4.9,861,7.5,1111
8000,50,99,114,15.3,4.0,961,9.3,1111
10000,90,132,152,29.6,7.8,616,4.2,1111
10000,80,126,145,25.8,6.8,687,5.0,1111
10000,70,119,137,22.1,5.8,772,6.0,1111
10000,60,111,128,18.6,4.9,867,7.4,1111
10000,50,100,115,15.3,4.0,963,9.2,1111
12000,90,135,155,29.6,7.8,624,4.1,1111
12000,80,129,148,25.8,6.8,695,4.7,1111
12000,70,121,140,22.1,5.8,779,5.9,1111
12000,60,113,130,18.6,4.9,873,7.2,1111
12000,50,101,116,15.3,4.0,962,9.0,1111
14000,90,137,158,29.6,7.8,631,4.0,1111
14000,80,131,151,25.8,6.8,702,4.7,1111
14000,70,124,142,22.1,5.8,786,5.7,1111
14000,60,114,131,18.6,4.9,879,6.9,1111
14000,50,101,117,15.3,4.0,958,8.7,1111
16000,80,133,154,25.8,6.8,710,4.5,1111
16000,70,126,145,22.1,5.8,793,5.5,1111
16000,60,116,134,18.6,4.9,883,6.8,1111
16000,50,101,116,15.3,4.0,949,8.5,1111
18000,80,136,157,25.8,6.8,720,4.4,1111
18000,70,128,147,22.1,5.8,803,5.3,1111
18000,60,118,136,18.6,4.9,890,6.6,1111
18000,50,100,115,15.3,4.0,934,8.3,1111
0,100,125,143,33.6,8.9,518,4.2,1134
0,90,120,138,29.6,7.8,578,4.8,1134
0,80,115,132,25.8,6.8,647,5.6,1134
0,70,109,125,22.1,5.8,731,6.7,1134
0,60,102,117,18.6,4.9,828,8.1,1134
0,50,93,108,15.3,4.0,936,10.0,1134
2000,100,127,146,33.6,8.9,525,4.0,1134
